loss,accuracy,val_loss,val_accuracy
1.1812536740117723,0.6314142346382141,1.31855968496587,0.6219059228897095
0.4311442707030674,0.8739166259765625,0.5132645846593498,0.8493192791938782
0.3007497820028955,0.911163866519928,0.5069380797962151,0.8582921028137207
0.23888242026092196,0.9312491416931152,0.4283984645758525,0.8839727640151978
0.19688465178611436,0.9440776109695435,0.34141955871393187,0.9025371074676514
0.17579554022280972,0.9515063762664795,0.24077440754021748,0.9331682920455933
0.16020041357632073,0.9562525749206543,0.3045141030066084,0.9204826951026917
0.15221385721233593,0.9580410122871399,0.21237182152448314,0.9452351331710815
0.1396800320657514,0.9613426923751831,0.223729936203154,0.9381188154220581
0.1406514440713255,0.9624776244163513,0.3287534653255255,0.9130569100379944
0.12738440980759885,0.9656761884689331,0.2816039819528561,0.9223390817642212
0.11433668428675019,0.9702503681182861,0.2389792847161246,0.9405940771102905
0.11928180389517291,0.9690466523170471,0.2677771260242651,0.9316213130950928
0.11081741441362562,0.9712477922439575,0.2466562797527502,0.9436880946159363
0.1036056689620797,0.9747902154922485,0.23627151298050833,0.9433786869049072
0.10376220829820744,0.9747214317321777,0.32959469695492544,0.9254331588745117
0.09924122779302771,0.9764066338539124,0.23978296837004104,0.937190592288971
0.09811242570807704,0.9768537878990173,0.23083372782952716,0.9501856565475464
0.09636648927662408,0.9771633148193359,0.2329844208342014,0.9430692791938782
0.10426302825523909,0.9754092693328857,0.23179965134304348,0.9418317079544067
0.10192965973906085,0.9757531881332397,0.22993960519238274,0.9483292102813721
0.09131776174631091,0.9792956113815308,0.3075632125434309,0.9350247383117676
0.09718527188449011,0.9777479767799377,0.2758971679918837,0.9350247383117676
0.10890768484010921,0.9759251475334167,0.23286304482729128,0.9446163177490234
0.08366678341196138,0.9835259318351746,0.26578898750024266,0.9393564462661743
0.08155712916727555,0.984076201915741,0.18594293443873378,0.9603960514068604
0.08048442219717004,0.985211193561554,0.2598182286071305,0.9446163177490234
0.09687461360134897,0.9797083735466003,0.3412428129427504,0.9282178282737732
0.08660527990795523,0.9830788373947144,0.2503248363143147,0.9430692791938782
0.09089204884654538,0.9817031025886536,0.2625208812037317,0.9412128925323486
