,filename,class
0,e7ea8b76_nohash_1.wav,off
1,3ff840aa_nohash_0.wav,eight
2,ccfd721c_nohash_0.wav,down
3,64574a99_nohash_0.wav,five
4,b0bad4a9_nohash_1.wav,house
5,af8b2f2c_nohash_0.wav,seven
6,126403d4_nohash_3.wav,five
7,9a7c1f83_nohash_2.wav,left
8,30a09789_nohash_0.wav,sheila
9,69086eb0_nohash_0.wav,right
10,3da7f617_nohash_0.wav,six
11,9d050657_nohash_0.wav,four
12,3c1e12cf_nohash_0.wav,dog
13,f06190c1_nohash_1.wav,off
14,863880b7_nohash_0.wav,bed
15,da7689f1_nohash_0.wav,marvin
16,c518d1b1_nohash_0.wav,seven
17,8a56f36e_nohash_0.wav,three
18,229978fd_nohash_4.wav,six
19,274c008f_nohash_0.wav,left
20,cd85758f_nohash_0.wav,marvin
21,b8872c20_nohash_0.wav,left
22,353b4d33_nohash_0.wav,seven
23,46a153d8_nohash_0.wav,left
24,1ed557b9_nohash_1.wav,left
25,cd7f8c1b_nohash_1.wav,right
26,f0edc767_nohash_0.wav,six
27,413997c1_nohash_0.wav,bed
28,5d0ab165_nohash_0.wav,eight
29,e57abea3_nohash_1.wav,left
30,5b09db89_nohash_4.wav,six
31,e6e29c47_nohash_0.wav,bed
32,37b03ab1_nohash_0.wav,three
33,baf01c1f_nohash_0.wav,seven
34,dca6b373_nohash_0.wav,off
35,8ea22de7_nohash_2.wav,marvin
36,05cf43ef_nohash_1.wav,off
37,3bdf05d3_nohash_0.wav,seven
38,6cc28ce5_nohash_0.wav,down
39,439c84f4_nohash_1.wav,eight
40,3c8dc702_nohash_0.wav,dog
41,df1d5024_nohash_4.wav,six
42,64da5281_nohash_1.wav,left
43,3f2b358d_nohash_2.wav,right
44,7910d292_nohash_1.wav,house
45,e2286c18_nohash_1.wav,seven
46,c71e3acc_nohash_0.wav,six
47,3ed3e49a_nohash_0.wav,left
48,a8e25ebb_nohash_0.wav,left
49,ba770f9b_nohash_0.wav,dog
50,d90b4138_nohash_3.wav,five
51,2e73212b_nohash_0.wav,five
52,1a9afd33_nohash_0.wav,seven
53,4f086393_nohash_0.wav,right
54,9a3f97f8_nohash_1.wav,three
55,c948d727_nohash_2.wav,five
56,25132942_nohash_1.wav,down
57,b3bb4dd6_nohash_1.wav,right
58,7014b07e_nohash_0.wav,dog
59,1ed557b9_nohash_0.wav,left
60,f33660af_nohash_0.wav,right
61,82c6d220_nohash_3.wav,off
62,91bed2e0_nohash_0.wav,left
63,cd7f8c1b_nohash_4.wav,six
64,bf8d5617_nohash_2.wav,down
65,65d844fc_nohash_0.wav,off
66,d31d8dd7_nohash_0.wav,right
67,d7ca14ef_nohash_0.wav,five
